expression,type,n_weeks,n_patients,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time
data_table,reg,10,100,299.18µs,318.39µs,3036.904120324898,198.7KB,14.701472228405454,1446,7,476.14ms
mlr3fda,reg,10,100,  6.05ms,  6.28ms,154.6239828342876,  1.06MB,8.138104359699348,95,5,614.39ms
dplyr,irreg,10,100,  1.81ms,  1.89ms,516.7070480472586,167.69KB,8.333984645923525,248,4,479.96ms
data_table,irreg,10,100,255.55µs,270.85µs,3561.105359647748,131.98KB,12.531749066209084,1705,6,478.78ms
mlr3fda,irreg,10,100,  8.66ms,  8.95ms,109.28140348874744,  1.07MB,10.808050894491506,91,9,832.71ms
dplyr,reg,50,100,  2.39ms,  2.5ms,380.7984312382476,  1.37MB,10.879955178235646,175,5,459.56ms
data_table,reg,50,100,604.79µs,653.48µs,1445.5024889321987,630.24KB,21.510453704348198,672,10,464.89ms
mlr3fda,reg,50,100,  6.21ms,  6.41ms,149.73667580405052,  1.49MB,9.557660157705351,94,6,627.77ms
dplyr,irreg,50,100,  2.38ms,  2.51ms,378.2098070435525,  1.36MB,13.270519545387806,171,6,452.13ms
data_table,irreg,50,100,618.49µs,675.33µs,1418.5775807762143,628.55KB,24.230362404562666,644,11,453.98ms
mlr3fda,irreg,50,100,  9.16ms,  9.42ms,105.01655566561506,  1.77MB,10.386252758137752,91,9,866.53ms
dplyr,reg,100,100,  2.5ms,  2.65ms,375.79196288107335,  2.54MB,29.09357131982503,155,12,412.46ms
data_table,reg,100,100,  1.08ms,  1.13ms,876.3159624691579,  1.14MB,23.919294260944756,403,11,459.88ms
mlr3fda,reg,100,100,  6.28ms,  6.45ms,154.03560574474383,  2.28MB,13.394400499542941,92,8,597.26ms
dplyr,irreg,100,100,  2.52ms,  2.66ms,371.3431208422042,  2.54MB,29.316562171752963,152,12,409.32ms
data_table,irreg,100,100,  1.1ms,  1.16ms,850.146117058212,  1.14MB,34.46538312398157,370,15,435.22ms
mlr3fda,irreg,100,100,  9.43ms,  9.85ms,99.81241096441994,  2.79MB,11.090267884935548,90,10,901.69ms
dplyr,reg,10,1000,  8.5ms,  8.81ms,111.38683264120877,  2.81MB,18.13274019740608,86,14,772.08ms
data_table,reg,10,1000,  1.04ms,  1.1ms,889.5026649675135,  1.36MB,33.252436073551905,321,12,360.88ms
mlr3fda,reg,10,1000, 17.78ms, 18.32ms,54.302021742113396,  1.43MB,15.315954850339676,78,22,  1.44s
dplyr,irreg,10,1000,  6.25ms,  6.41ms,155.77436447689618,  1.66MB,11.724952164927668,93,7,597.02ms
data_table,irreg,10,1000,625.74µs,666.58µs,1478.233335217456,770.35KB,29.61022089033425,649,13,439.04ms
mlr3fda,irreg,10,1000, 42.24ms, 43.81ms,22.786525319535006,  1.6MB,35.6404626792727,39,61,  1.71s
dplyr,reg,50,1000, 11.18ms, 11.57ms,86.0107242676264, 11.05MB,48.38103240053985,64,36,744.09ms
data_table,reg,50,1000,  3.3ms,  3.52ms,283.5015095994176,  5.57MB,57.988945145335414,88,18,310.4ms
mlr3fda,reg,50,1000, 19.03ms, 19.58ms,50.637827285798345,  5.69MB,15.990892827094214,76,24,  1.5s
dplyr,irreg,50,1000, 11.24ms, 11.69ms,84.88498302018182, 11.02MB,33.010826730070704,72,28,848.21ms
data_table,irreg,50,1000,  3.4ms,  3.55ms,279.4075023675378,  5.56MB,34.53351152857209,89,11,318.53ms
mlr3fda,irreg,50,1000, 49.08ms, 50.42ms,19.740568876855914,  8.55MB,38.319927819779124,34,66,  1.72s
dplyr,reg,100,1000, 13.39ms, 14.28ms,69.49539104459205, 21.89MB,54.60352153503661,56,44,805.81ms
data_table,reg,100,1000,  6.3ms,  6.58ms,150.89457356710554, 10.84MB,26.628454158900976,85,15,563.31ms
mlr3fda,reg,100,1000, 20.31ms, 21.23ms,46.80439392367317, 13.59MB,14.78033492326521,76,24,  1.62s
dplyr,irreg,100,1000, 13.45ms, 14.31ms,69.57940123612426, 21.89MB,46.386267490749496,60,40,862.32ms
data_table,irreg,100,1000,  6.39ms,  6.6ms,150.88712550623094, 10.84MB,30.904591971155735,83,17,550.08ms
mlr3fda,irreg,100,1000, 51.14ms, 52.58ms,18.92794299653392, 18.73MB,40.22187886763458,32,68,  1.69s
